6807,70,0.056

6857,62,0.050

6907,63,0.051

6957,62,0.050

7007,69,0.056

7057,65,0.052

7108,63,0.051

7158,66,0.053

7208,64,0.052

7258,62,0.050

7308,65,0.052

7358,64,0.052

7408,65,0.052

7458,65,0.052

7508,64,0.052

7559,70,0.056

7609,64,0.052

7659,64,0.052

7709,62,0.050

7759,64,0.052

7809,65,0.052

7859,65,0.052

7909,65,0.052

7959,64,0.052

8010,65,0.052

8060,64,0.052

8110,64,0.052

8160,62,0.050

8210,62,0.050

8260,70,0.056

8310,64,0.052

8360,66,0.053

8410,65,0.052

8461,64,0.052

8511,64,0.052

8561,64,0.052

8611,62,0.050

8661,72,0.058

8711,65,0.052

8761,65,0.052

8811,62,0.050

8861,62,0.050

8911,64,0.052

8962,62,0.050

9012,63,0.051

9062,70,0.056

9112,63,0.051

9162,62,0.050

9212,66,0.053

9262,100,0.081

9312,146,0.118

9362,181,0.146

9413,214,0.172

9463,247,0.199

9513,276,0.222

9563,304,0.245

9613,321,0.259

9663,336,0.271

9713,330,0.266

9763,352,0.284

9814,366,0.295

9864,396,0.319

9914,418,0.337

9964,436,0.351

10014,468,0.377

10064,484,0.390

10114,511,0.412

10164,525,0.423

10214,559,0.450

10264,592,0.477

10315,600,0.484

10365,624,0.503

10415,649,0.523

10465,686,0.553

10515,696,0.561

10565,713,0.575

10615,749,0.604

10665,780,0.629

10715,811,0.654

10766,822,0.662

10816,848,0.683

10866,857,0.691

10916,886,0.714

10966,909,0.733

11016,924,0.745

11066,924,0.745

11116,954,0.769

11167,954,0.769

11217,971,0.782

11267,980,0.790

11317,990,0.798

11367,1012,0.816

11417,1005,0.810

11467,1007,0.812

11517,1052,0.848

11568,1063,0.857

11618,1086,0.875

11668,1084,0.874

11718,1113,0.897

11768,1092,0.880

11818,1124,0.906

11868,1137,0.916

11918,1176,0.948

11968,1165,0.939

12019,1197,0.965

12069,1200,0.967

12119,1237,0.997

12169,1250,1.007

12219,1271,1.024

12269,1265,1.019

12319,1309,1.055

12369,1313,1.058

12419,1345,1.084

12470,1358,1.094

12520,1372,1.106

12570,1386,1.117

12620,1421,1.145

12670,1416,1.141

12720,1435,1.156

12770,1456,1.173

12820,1500,1.209

12870,1523,1.227

12921,1522,1.227

12971,1547,1.247

13021,1560,1.257

13071,1552,1.251

13121,1542,1.243

13171,1558,1.256

13221,1576,1.270

13271,1605,1.293

13322,1621,1.306

13372,1647,1.327

13422,1653,1.332

13472,1682,1.355

13522,1681,1.355

13572,1740,1.402

13622,1741,1.403

13672,1766,1.423

13722,1794,1.446

13773,1848,1.489

13823,1859,1.498

13873,1902,1.533

13923,1925,1.551

13973,1929,1.555

14023,1964,1.583

14073,2003,1.614

14123,2001,1.613

14173,2032,1.638

14224,2056,1.657

14274,2074,1.671

14324,2150,1.733

14374,2146,1.729

14424,2160,1.741

14474,2156,1.737

14524,2201,1.774

14574,2212,1.783

14624,2235,1.801

14675,2272,1.831

14725,2285,1.841

14775,2301,1.854

14825,2320,1.870

14875,2364,1.905

14925,2420,1.950

14975,2412,1.944

15025,2465,1.986

15075,2457,1.980

15126,2484,2.002

15176,2520,2.031

15226,2513,2.025

15276,2589,2.086

15326,2593,2.090

15376,2632,2.121

15426,2665,2.148

15476,2713,2.186

15526,2691,2.169

15577,2771,2.233

15627,2737,2.206

15677,2799,2.256

15727,2823,2.275

15777,2873,2.315

15827,2869,2.312

15877,2920,2.353

15927,3033,2.444

15977,3068,2.472

16028,3124,2.518

16078,3176,2.559

16128,3187,2.568

16178,3238,2.609

16228,3346,2.696

16278,3444,2.775

16328,3421,2.757

16378,3516,2.833

16428,3514,2.832

16479,3572,2.879

16529,3592,2.895

16579,3583,2.887

16629,3660,2.949

16679,3652,2.943

16729,3780,3.046

16779,3821,3.079

16829,3918,3.157

16880,3960,3.191

16930,4008,3.230

16980,3998,3.222

17030,3971,3.200

17080,3930,3.167

17130,3930,3.167

17180,3972,3.201

17230,4011,3.232

17280,3930,3.167

17331,4000,3.223

17381,3992,3.217

17431,3920,3.159

17481,3916,3.156

17531,3930,3.167

17581,3914,3.154

17631,3907,3.148

17681,3918,3.157

17731,3931,3.168

17782,3959,3.190

17832,3977,3.205

17882,3944,3.178

17932,3994,3.219

17982,3916,3.156

18032,3940,3.175

18082,4011,3.232

18132,3934,3.170

18182,3970,3.199

18233,3987,3.213

18283,3912,3.153

18333,3996,3.220

18383,3989,3.215

18433,3912,3.153

18483,3998,3.222

18533,3916,3.156

18583,3957,3.189

18633,3928,3.165

18684,3996,3.220

18734,3931,3.168

18784,3913,3.153

18834,3929,3.166

18884,3930,3.167

18934,3978,3.206

18984,3948,3.182

19034,3957,3.189

19085,4013,3.234

19135,3998,3.222

19185,3985,3.211

19235,3976,3.204

19285,3935,3.171

19335,3905,3.147

19385,3952,3.185

19435,3912,3.153

19485,3912,3.153

19536,3969,3.198

19586,3943,3.178

19636,3994,3.219

19686,3917,3.157

19736,3947,3.181

19786,3929,3.166

19836,3957,3.189

19886,3941,3.176

19936,3912,3.153

19987,3977,3.205

20037,3972,3.201

20087,3930,3.167

20137,3939,3.174

20187,3936,3.172

20237,4001,3.224

20287,3938,3.173

20337,3944,3.178

20387,3994,3.219

20438,4003,3.226

20488,4003,3.226

20538,3948,3.182

20588,3963,3.194

20638,3845,3.099

20688,3904,3.146

20738,3786,3.051

20788,3803,3.065

20838,3766,3.035

20889,3788,3.053

20939,3696,2.978

20989,3717,2.995

21039,3697,2.979

21089,3727,3.003

21139,3754,3.025

21189,3661,2.950

21239,3702,2.983

21290,3703,2.984

21340,3700,2.982

21390,3644,2.937

21440,3667,2.955

21490,3583,2.887

21540,3605,2.905

21590,3578,2.883

21640,3542,2.854

21690,3558,2.867

21741,3586,2.890

21791,3582,2.887

21841,3553,2.863

21891,3520,2.837

21941,3433,2.767

21991,3461,2.789

22041,3414,2.751

22091,3400,2.740

22141,3418,2.754

22192,3401,2.741

22242,3299,2.659

22292,3292,2.653

22342,3244,2.614

22392,3216,2.592

22442,3194,2.574

22492,3170,2.555

22542,3139,2.530

22592,3188,2.569

22643,3163,2.549

22693,3096,2.495

22743,3085,2.486

22793,3088,2.488

22843,3076,2.479

22893,3042,2.451

22943,2959,2.385

22993,2979,2.401

23043,2939,2.368

23094,2870,2.313

23144,2894,2.332

23194,2905,2.341

23244,2868,2.311

23294,2858,2.303

23344,2795,2.252

23394,2764,2.227

23444,2796,2.253

23494,2703,2.178

23545,2682,2.161

23595,2659,2.143

23645,2626,2.116

23695,2640,2.127

23745,2574,2.074

23795,2512,2.024

23845,2507,2.020

23895,2493,2.009

23945,2408,1.941

23996,2378,1.916

24046,2332,1.879

24096,2348,1.892

24146,2272,1.831

24196,2241,1.806

24246,2204,1.776

24296,2189,1.764

24346,2187,1.762

24397,2110,1.700

24447,2107,1.698

24497,2070,1.668

24547,2045,1.648

24597,1960,1.579

24647,1946,1.568

24697,1920,1.547

24747,1894,1.526

24797,1832,1.476

24848,1774,1.430

24898,1739,1.401

24948,1741,1.403

24998,1672,1.347

25048,1662,1.339

25098,1650,1.330

25148,1608,1.296

25198,1585,1.277

25248,1534,1.236

25299,1518,1.223

25349,1483,1.195

25399,1475,1.189

25449,1430,1.152

25499,1421,1.145

25549,1389,1.119

25599,1392,1.122

25649,1353,1.090

25699,1357,1.094

25750,1348,1.086

25800,1298,1.046

25850,1291,1.040

25900,1254,1.011

25950,1262,1.017

26000,1227,0.989

26050,1202,0.969

26100,1156,0.932

26151,1102,0.888

26201,1086,0.875

26251,1041,0.839

26301,993,0.800

26351,944,0.761

26401,930,0.749

26451,877,0.707

26501,818,0.659

26551,753,0.607

26602,704,0.567

26652,655,0.528

26702,608,0.490

26752,547,0.441

26802,511,0.412

26852,467,0.376

26902,424,0.342

26952,393,0.317

27002,348,0.280

27053,302,0.243

27103,264,0.213

27153,229,0.185

27203,183,0.147

27253,162,0.131

27303,125,0.101

27353,93,0.075

27403,62,0.050

27453,63,0.051

27504,65,0.052

27554,65,0.052

27604,60,0.048

27654,65,0.052

27704,61,0.049

27754,61,0.049

27804,64,0.052

27854,64,0.052

27904,60,0.048

27955,64,0.052

28005,62,0.050

28055,61,0.049

28105,65,0.052

28155,68,0.055

28205,65,0.052

28255,61,0.049

28305,65,0.052

28355,60,0.048

28406,64,0.052

28456,61,0.049

28506,61,0.049

28556,64,0.052

28606,66,0.053

28656,66,0.053

28706,66,0.053

28756,62,0.050

28806,64,0.052

28857,69,0.056

28907,68,0.055

28957,62,0.050

29007,64,0.052

29057,65,0.052

29107,64,0.052

29157,64,0.052

29207,70,0.056

29258,67,0.054

29308,64,0.052

29358,66,0.053

29408,64,0.052

29458,65,0.052

29508,68,0.055

29558,69,0.056

29608,64,0.052

29658,68,0.055

29709,64,0.052

29759,64,0.052

29809,66,0.053

29859,65,0.052

29909,67,0.054

29959,67,0.054

30009,64,0.052

30059,65,0.052

30109,64,0.052

30160,65,0.052

30210,70,0.056

30260,65,0.052

30310,65,0.052

30360,62,0.050

30410,67,0.054

